iter	Passed	Remaining
403	9222	13605
404	9245	13582
405	9268	13559
406	9289	13535
407	9316	13518
408	9341	13498
409	9381	13500
410	9409	13484
411	9432	13461
412	9453	13436
413	9475	13412
414	9503	13396
415	9529	13377
416	9550	13351
417	9571	13326
418	9591	13300
419	9613	13275
420	9635	13251
421	9657	13228
422	9680	13205
423	9704	13182
424	9725	13158
425	9747	13133
426	9771	13112
427	9791	13086
428	9813	13061
429	9847	13053
430	9880	13043
431	9925	13050
432	9983	13073
433	10004	13047
434	10033	13031
435	10062	13016
436	10084	12992
437	10106	12968
438	10129	12944
439	10157	12928
440	10184	12909
441	10208	12887
442	10231	12863
443	10255	12842
444	10279	12820
445	10303	12798
446	10327	12777
447	10362	12767
448	10386	12745
449	10411	12725
450	10437	12705
451	10461	12683
452	10485	12661
453	10509	12639
454	10539	12624
455	10566	12605
456	10593	12586
457	10619	12567
458	10648	12550
459	10674	12531
460	10703	12514
461	10729	12495
462	10756	12475
463	10788	12463
464	10816	12444
465	10845	12428
466	10875	12412
467	10904	12395
468	10932	12377
469	10957	12356
470	10984	12336
471	11010	12317
472	11038	12298
473	11064	12277
474	11091	12259
475	11118	12239
476	11145	12220
477	11172	12201
478	11198	12180
479	11225	12160
480	11251	12140
481	11277	12119
482	11308	12104
483	11338	12087
484	11363	12066
485	11389	12045
486	11414	12024
487	11441	12003
488	11470	11986
489	11498	11967
490	11527	11949
491	11554	11929
492	11579	11908
493	11608	11890
494	11633	11868
495	11660	11848
496	11690	11831
497	11717	11811
498	11745	11792
499	11771	11771
500	11798	11751
501	11837	11742
502	11868	11727
503	11894	11706
504	11920	11684
505	11991	11706
506	12071	11737
507	12118	11736
508	12145	11715
509	12171	11694
510	12202	11676
511	12228	11655
512	12273	11651
513	12319	11648
514	12362	11642
515	12416	11646
516	12478	11658
517	12549	11677
518	12623	11699
519	12672	11697
520	12717	11692
521	12768	11692
522	12798	11672
523	12825	11650
524	12861	11637
525	12892	11617
526	12924	11600
527	12952	11578
528	12980	11557
529	13009	11536
530	13036	11514
531	13064	11493
532	13100	11478
533	13126	11454
