iter	Logloss
0	0.6556841936
1	0.6263027318
2	0.6035209364
3	0.584234503
4	0.5693307459
5	0.5574704817
6	0.5477878863
7	0.5399262604
8	0.5340788061
9	0.5289485271
10	0.5250982762
11	0.5217883699
12	0.5190551542
13	0.5169252356
14	0.5153413171
15	0.5137694549
16	0.512396543
17	0.51120483
18	0.5103433207
19	0.5095746191
20	0.5087978714
21	0.5082469615
22	0.5077528243
23	0.5073637729
24	0.5069817348
25	0.5066694993
26	0.5063674877
27	0.5061848876
28	0.5059310747
29	0.5057185174
30	0.5055484439
31	0.5053635984
32	0.5051778744
33	0.5050106006
34	0.5048585741
35	0.5047446032
36	0.5046577803
37	0.5045576564
38	0.5044258556
39	0.5042613434
40	0.504157832
41	0.5040372752
42	0.5039593147
43	0.5038384746
44	0.5037499848
45	0.503669646
46	0.5035818968
47	0.5034759372
48	0.5034079697
49	0.5033179614
50	0.5032349335
51	0.5031454828
52	0.5030735934
53	0.5029915269
54	0.5029237212
55	0.502822971
56	0.5027334671
57	0.502647518
58	0.5025827856
59	0.5025135094
60	0.5024520218
61	0.502386435
62	0.5023084322
63	0.5022382302
64	0.5021984309
65	0.5021672497
66	0.5021190941
67	0.5020643304
68	0.5020144097
69	0.5019726597
70	0.5019284831
71	0.5018448835
72	0.5018101949
73	0.5017638005
74	0.5017036495
75	0.5016383159
76	0.5015908561
77	0.5015461702
78	0.5014713277
79	0.5013934665
80	0.5013592905
81	0.5013189409
82	0.5012617591
83	0.5012182212
84	0.5011522647
85	0.5011064066
86	0.5010723977
87	0.5010214076
88	0.500982263
89	0.5009366938
90	0.5008989436
91	0.5008638119
92	0.5008079834
93	0.5007557067
94	0.5007104296
95	0.5006598248
96	0.5006137406
97	0.5005804982
98	0.5005241652
99	0.5004775332
100	0.5004450591
101	0.5003969434
102	0.5003629066
103	0.5003125984
104	0.5002850818
105	0.500236566
106	0.5001873116
107	0.5001564784
108	0.5001131595
109	0.5000834245
110	0.5000482015
111	0.5000143902
112	0.4999803127
113	0.4999548734
114	0.4999226363
115	0.4998769771
116	0.4998517878
117	0.4998190698
118	0.4997785879
119	0.4997590231
120	0.499704421
121	0.4996596797
122	0.4996329185
123	0.499565407
124	0.4995223575
125	0.4994962988
126	0.4994657204
127	0.4994354024
128	0.4994099901
129	0.4993630646
130	0.4993374776
131	0.4993117831
132	0.4992572036
133	0.4992171539
134	0.4991772341
135	0.4991421739
136	0.4991101511
137	0.4990827566
138	0.4990561279
139	0.4990152911
140	0.4989966831
141	0.4989614902
142	0.4989211567
143	0.4988792238
144	0.4988422406
145	0.4988123853
146	0.4987923511
147	0.498746489
148	0.4987041703
149	0.4986813461
150	0.4986458875
151	0.4986102761
152	0.4985825823
153	0.4985379721
154	0.4985013996
155	0.4984691235
156	0.4984373906
157	0.4984017862
158	0.4983747936
159	0.4983596717
160	0.4983150001
161	0.498283853
162	0.4982528684
163	0.4982169964
164	0.4981786759
165	0.4981380318
166	0.4981139076
167	0.498091361
168	0.4980581939
169	0.498038825
170	0.4980004355
171	0.4979664706
172	0.4979216289
173	0.4978751919
174	0.4978306915
175	0.4977903914
176	0.4977633732
177	0.4977434876
178	0.4977216834
179	0.4976994659
180	0.4976746974
181	0.4976558919
182	0.4976197769
183	0.4976003736
184	0.4975581701
185	0.4975353553
186	0.4975104469
187	0.4974768972
188	0.4974454021
189	0.4974127184
190	0.4973769176
191	0.497343947
192	0.4973231551
193	0.4972899888
194	0.4972624023
195	0.4972367002
196	0.4971976044
197	0.4971727007
198	0.4971579639
199	0.4971398782
200	0.4971035564
201	0.4970696806
202	0.4970351707
203	0.4970025945
204	0.496978375
205	0.4969456974
206	0.4969242911
207	0.4969006068
208	0.4968802753
209	0.4968356807
210	0.4968124599
211	0.4967839526
212	0.496752226
213	0.4967067117
214	0.4966862185
215	0.4966534867
216	0.4966297789
217	0.4966065437
218	0.496588249
219	0.4965740164
220	0.4965491445
221	0.4965311476
222	0.4965010507
223	0.4964784522
224	0.4964456957
225	0.4964231169
226	0.4964021867
227	0.49638296
228	0.4963556663
229	0.4963303863
230	0.4963085954
231	0.496287199
232	0.4962647042
233	0.4962365266
234	0.4961995381
235	0.4961692094
236	0.4961500422
237	0.4961309945
238	0.4961099258
239	0.4960858165
240	0.4960692463
241	0.4960484048
242	0.4960309207
243	0.4959995504
244	0.4959749225
245	0.4959496958
246	0.4959263354
247	0.4959021132
248	0.4958921107
249	0.4958700555
250	0.4958409526
251	0.4958239699
252	0.4958022622
253	0.4957841254
254	0.4957701586
255	0.4957463058
256	0.4957251571
257	0.4957074359
258	0.4956773589
259	0.4956465566
260	0.4956186735
261	0.4955967963
262	0.4955790563
263	0.495554935
264	0.4955296851
265	0.4955065167
266	0.495478022
267	0.4954549056
268	0.4954331488
269	0.495420442
270	0.495395356
271	0.4953737667
272	0.4953387237
273	0.4953140663
274	0.4952919494
275	0.4952741088
276	0.4952556324
277	0.4952442003
278	0.4952247903
279	0.4952064575
280	0.4951903107
281	0.4951588713
282	0.4951284153
283	0.4951002445
284	0.4950774562
285	0.4950545694
286	0.4950355569
287	0.4950117824
288	0.4949835254
289	0.494972339
290	0.494945764
291	0.4949305746
292	0.494910948
293	0.4948871262
294	0.4948704557
295	0.4948578618
296	0.4948429029
297	0.4948309971
298	0.4947976709
299	0.4947692138
300	0.4947539305
301	0.4947283061
302	0.4947016517
303	0.4946775842
304	0.4946658491
305	0.4946448163
306	0.4946260007
307	0.4946125533
308	0.4945959787
309	0.4945842201
310	0.4945533059
311	0.4945417556
312	0.4945170226
313	0.4944999079
314	0.494485541
315	0.4944730488
316	0.494460293
317	0.4944416046
318	0.4944174243
319	0.4943919424
320	0.4943682462
321	0.4943396484
322	0.4943201149
323	0.4942977246
324	0.4942818066
325	0.4942510716
326	0.4942253381
327	0.4942007983
328	0.4941809279
329	0.4941690882
330	0.4941537474
331	0.4941344288
332	0.4941119705
333	0.4940989132
334	0.4940833668
335	0.4940678842
336	0.4940456041
337	0.4940188848
338	0.4939982528
339	0.4939661438
340	0.493949374
341	0.4939286122
342	0.4939125641
343	0.4938960726
344	0.4938755873
345	0.4938628878
346	0.4938321348
347	0.4938168173
348	0.4937968418
349	0.493772182
350	0.4937496611
351	0.49372904
352	0.4937012632
353	0.493688512
354	0.493666761
355	0.4936521963
356	0.4936417114
357	0.4936259601
358	0.4936071776
359	0.4935891135
360	0.4935799488
361	0.49356373
362	0.493540818
363	0.4935132789
364	0.4934894539
365	0.4934710634
366	0.4934527882
367	0.493437634
368	0.4934138152
369	0.4933970787
370	0.4933755889
371	0.4933549699
372	0.4933406261
373	0.493325319
374	0.4933111979
375	0.493293484
376	0.4932811961
377	0.4932557757
378	0.4932368386
379	0.49321777
380	0.4932087751
381	0.4931969872
382	0.4931807406
383	0.4931615336
384	0.4931395263
385	0.493103933
386	0.4930735206
387	0.4930510858
388	0.4930243074
389	0.4930104825
390	0.4929841177
391	0.4929675272
392	0.4929526655
393	0.4929325421
394	0.492911143
395	0.4929011042
396	0.4928759259
397	0.492845392
398	0.4928342127
399	0.4928206021
400	0.4927901916
401	0.4927777948
402	0.4927603852
403	0.4927399631
404	0.4927194845
405	0.4926931581
406	0.4926739211
407	0.4926617097
408	0.4926404947
409	0.4926215221
410	0.4926014953
411	0.4925736068
412	0.4925625483
413	0.4925447344
414	0.492517826
415	0.4924955987
416	0.4924792555
417	0.4924657267
418	0.4924517309
419	0.4924305268
420	0.4924071753
421	0.4923881014
422	0.4923708733
423	0.4923520407
424	0.4923290311
425	0.4923057599
426	0.4922835463
427	0.4922713809
428	0.4922528642
429	0.4922337683
430	0.4922161098
431	0.4922030928
432	0.4921903494
433	0.4921755753
434	0.4921645884
435	0.4921492223
436	0.4921266487
437	0.4921096158
438	0.4920876129
439	0.4920759945
440	0.4920560038
441	0.4920225093
442	0.4920139297
443	0.4919998004
444	0.4919854703
445	0.4919737865
446	0.4919583069
447	0.4919448894
448	0.4919324874
449	0.4919191588
450	0.4919036364
451	0.4918915534
452	0.4918810325
453	0.4918656368
454	0.491843017
455	0.4918205582
456	0.4917890664
457	0.4917665772
458	0.4917466293
459	0.491733753
460	0.4917182137
461	0.4916988286
462	0.4916784997
463	0.4916670081
464	0.4916460415
465	0.4916314447
466	0.4916183857
467	0.4916007822
468	0.4915893062
469	0.4915745107
470	0.4915506519
471	0.4915400697
472	0.4915205843
473	0.4915062681
474	0.4914876764
475	0.4914733703
476	0.4914521004
477	0.4914346298
478	0.4914267763
479	0.4914079036
480	0.4913951625
481	0.491381603
